epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,8305.43,0.46604,1.56284,0.91382,0.98409,0.97296,0.98231,0.84836,0.39161,1.30189,0.87533,0.0002872,0.0002872,0.0002872
110,8381.82,0.46392,1.57168,0.91376,0.99478,0.9677,0.98663,0.84671,0.38782,1.28056,0.87455,0.0002806,0.0002806,0.0002806
111,8458.04,0.46088,1.55795,0.91257,0.99234,0.95807,0.98656,0.85123,0.38873,1.2935,0.87504,0.000274,0.000274,0.000274
112,8534.17,0.45939,1.54716,0.91064,0.97817,0.97089,0.98673,0.85406,0.38654,1.26756,0.87389,0.0002674,0.0002674,0.0002674
113,8610.63,0.46069,1.55424,0.91163,0.97879,0.97192,0.98649,0.85168,0.38636,1.28714,0.87047,0.0002608,0.0002608,0.0002608
114,8686.79,0.45367,1.53236,0.90683,0.98388,0.97048,0.98758,0.85337,0.38623,1.28129,0.87063,0.0002542,0.0002542,0.0002542
115,8762.84,0.45298,1.53731,0.90616,0.98182,0.97021,0.98639,0.85656,0.38376,1.26786,0.87046,0.0002476,0.0002476,0.0002476
116,8838.77,0.44943,1.52251,0.90712,0.97938,0.97224,0.98487,0.85451,0.38136,1.27565,0.87012,0.000241,0.000241,0.000241
117,8914.81,0.45122,1.51629,0.90523,0.97721,0.97056,0.98773,0.85447,0.37965,1.26755,0.87071,0.0002344,0.0002344,0.0002344
118,8990.87,0.44584,1.50613,0.9052,0.98249,0.98072,0.99015,0.85827,0.38373,1.26192,0.87112,0.0002278,0.0002278,0.0002278
119,9066.93,0.44516,1.49888,0.90339,0.99273,0.97128,0.98571,0.85891,0.38003,1.25424,0.86642,0.0002212,0.0002212,0.0002212
120,9143.13,0.43994,1.4892,0.90044,0.98603,0.97129,0.98431,0.85775,0.37918,1.24801,0.86733,0.0002146,0.0002146,0.0002146
121,9219.09,0.4375,1.48833,0.90105,0.98521,0.97133,0.98538,0.8598,0.37308,1.23902,0.8647,0.000208,0.000208,0.000208
122,9295.25,0.43765,1.48618,0.89972,0.98343,0.97118,0.98698,0.85732,0.37692,1.25678,0.86494,0.0002014,0.0002014,0.0002014
123,9371.3,0.43717,1.47922,0.90336,0.98408,0.97383,0.98658,0.86224,0.37691,1.2458,0.867,0.0001948,0.0001948,0.0001948
124,9447.43,0.43155,1.46829,0.89851,0.9864,0.97276,0.98423,0.8621,0.36996,1.23285,0.86557,0.0001882,0.0001882,0.0001882
125,9523.47,0.4281,1.46581,0.89717,0.98493,0.9742,0.98605,0.85925,0.37162,1.23786,0.8667,0.0001816,0.0001816,0.0001816
126,9599.41,0.4345,1.47285,0.89968,0.99673,0.96243,0.98517,0.858,0.37279,1.24469,0.86607,0.000175,0.000175,0.000175
127,9675.53,0.42024,1.44193,0.89076,0.98486,0.97251,0.98357,0.85934,0.37108,1.23731,0.86355,0.0001684,0.0001684,0.0001684
128,9751.67,0.42566,1.44433,0.89303,0.98312,0.9734,0.98329,0.86071,0.3634,1.21526,0.86378,0.0001618,0.0001618,0.0001618
129,9827.76,0.42874,1.45833,0.89701,0.98608,0.97131,0.98409,0.86016,0.36474,1.2204,0.86143,0.0001552,0.0001552,0.0001552
130,9904,0.42014,1.43495,0.89349,0.98485,0.97223,0.98748,0.8649,0.35832,1.20826,0.8604,0.0001486,0.0001486,0.0001486
131,9980.22,0.42338,1.43472,0.89465,0.99081,0.96812,0.98517,0.86458,0.36062,1.21795,0.86223,0.000142,0.000142,0.000142
132,10057.2,0.41851,1.42901,0.89179,0.99196,0.97035,0.98468,0.86193,0.3589,1.21213,0.86098,0.0001354,0.0001354,0.0001354
133,10133.5,0.42253,1.43188,0.89085,0.99486,0.97043,0.98496,0.86946,0.35607,1.20607,0.86094,0.0001288,0.0001288,0.0001288
134,10210.9,0.41391,1.42032,0.89099,0.9861,0.97296,0.98308,0.86948,0.35678,1.1913,0.85928,0.0001222,0.0001222,0.0001222
135,10287.9,0.42067,1.4302,0.89037,0.98795,0.97105,0.98333,0.86784,0.35732,1.19634,0.85854,0.0001156,0.0001156,0.0001156
136,10365.2,0.4104,1.40482,0.88833,0.98797,0.97093,0.98425,0.86759,0.35619,1.1963,0.85786,0.000109,0.000109,0.000109
137,10442.7,0.40896,1.40048,0.88843,0.98711,0.97181,0.98518,0.87302,0.3561,1.18872,0.85844,0.0001024,0.0001024,0.0001024
138,10519.4,0.41257,1.40644,0.88839,0.98373,0.97258,0.98529,0.87314,0.35281,1.18335,0.85722,9.58e-05,9.58e-05,9.58e-05
139,10595.4,0.41136,1.40644,0.88845,0.99083,0.97119,0.98489,0.87306,0.35257,1.1833,0.85769,8.92e-05,8.92e-05,8.92e-05
140,10671.3,0.40912,1.40068,0.88979,0.98796,0.97194,0.98408,0.8709,0.35339,1.18485,0.85924,8.26e-05,8.26e-05,8.26e-05
141,10757.8,0.34187,1.16437,0.84944,0.98917,0.97378,0.98436,0.86766,0.35777,1.20304,0.8611,7.6e-05,7.6e-05,7.6e-05
142,10833.6,0.33823,1.15815,0.85011,0.99163,0.97149,0.98468,0.87062,0.35111,1.184,0.85724,6.94e-05,6.94e-05,6.94e-05
143,10909.4,0.33297,1.14671,0.84642,0.98907,0.97118,0.98447,0.87269,0.3492,1.18006,0.85667,6.28e-05,6.28e-05,6.28e-05
144,10985.1,0.33308,1.13927,0.84926,0.98884,0.97126,0.98462,0.87352,0.34803,1.17697,0.85671,5.62e-05,5.62e-05,5.62e-05
145,11060.9,0.33448,1.14511,0.84511,0.987,0.96801,0.98477,0.87399,0.34698,1.16933,0.85495,4.96e-05,4.96e-05,4.96e-05
146,11136.9,0.32859,1.13176,0.8463,0.98782,0.97111,0.98429,0.87644,0.3459,1.16698,0.85428,4.3e-05,4.3e-05,4.3e-05
147,11212.8,0.32501,1.1253,0.84473,0.98791,0.97236,0.9846,0.8754,0.34534,1.16543,0.85458,3.64e-05,3.64e-05,3.64e-05
148,11288.5,0.32715,1.12536,0.84349,0.9874,0.97219,0.98462,0.87606,0.34265,1.16116,0.85414,2.98e-05,2.98e-05,2.98e-05
149,11364.2,0.32113,1.1105,0.84138,0.98728,0.97184,0.98473,0.8788,0.34088,1.15681,0.85308,2.32e-05,2.32e-05,2.32e-05
150,11439.9,0.32431,1.12296,0.84421,0.98746,0.9713,0.98493,0.87989,0.34113,1.15738,0.85327,1.66e-05,1.66e-05,1.66e-05
